dataset,algorithm,status,n_samples,n_features,true_k,ari,ami,nmi,silhouette,n_pred_clusters,time_seconds
20newsgroups,deltric,timeout,18846,5000,20,nan,nan,nan,nan,nan,124.18
20newsgroups,kmeans--,timeout,18846,5000,20,nan,nan,nan,nan,nan,123.19
20newsgroups,hdbscan,timeout,18846,5000,20,nan,nan,nan,nan,nan,124.1
aniso_2d_3c,deltric,ok,1500,2,3,0.5476743458247022,0.7014175303235431,0.7021693187271107,0.3175408491523142,4,0.17
aniso_2d_3c,kmeans--,ok,1500,2,3,0.6907232197566661,0.704705449736838,0.7050646589958034,0.6653159107429877,3,0.53
aniso_2d_3c,hdbscan,ok,1500,2,3,0.571101573676681,0.7334753100145154,0.733680436651211,0.8829236518539965,2,0.05
aniso_2d_5c,deltric,ok,2500,2,5,0.7714014658068199,0.8982872691795613,0.8985392109825272,0.5817008479586195,5,0.43
aniso_2d_5c,kmeans--,ok,2500,2,5,0.9127984926162119,0.9189814518076278,0.919142933547631,0.628007239473161,5,0.6
aniso_2d_5c,hdbscan,ok,2500,2,5,0.7820446878312713,0.9020356235925169,0.9021969387058857,0.7136267191913225,4,0.09
aniso_5d_3c,deltric,ok,1500,5,3,1.0,1.0,1.0,0.5763297346162813,3,9.25
aniso_5d_3c,kmeans--,ok,1500,5,3,0.9920213760710251,0.9844726847878355,0.9844915632115511,0.5720834599965314,3,0.52
aniso_5d_3c,hdbscan,ok,1500,5,3,1.0,1.0,1.0,0.5831374039735766,3,0.04
blobs_large_10d_10c,deltric,ok,5000,10,10,1.0,1.0000000000000002,1.0000000000000002,0.7418812404933328,10,19.21
blobs_large_10d_10c,kmeans--,ok,5000,10,10,1.0,1.0,1.0,0.7418376749492314,10,0.61
blobs_large_10d_10c,hdbscan,ok,5000,10,10,1.0,1.0,1.0,0.7418376749492314,10,0.19
blobs_large_2d_20c,deltric,ok,5000,2,20,0.10569753987552434,0.4804213341369191,0.48496457648120783,-0.1425516141438556,10,0.67
blobs_large_2d_20c,kmeans--,ok,5000,2,20,0.6094447005680241,0.7733299458059631,0.7761160422912429,0.40497230294034386,20,0.63
