dataset,algorithm,n_samples,n_features,contamination,ari,ami,f1,precision,recall,auc,time_seconds,status
ALOI,deltric,49534,27,0.0304,nan,nan,nan,nan,nan,nan,632.78,timeout
ALOI,kmeans--,49534,27,0.0304,nan,nan,nan,nan,nan,nan,635.06,timeout
ALOI,hdbscan,49534,27,0.0304,nan,nan,nan,nan,nan,nan,636.02,timeout
Annthyroid,deltric,6942,21,0.05,0.03647572707569389,0.0032406495998014515,0.10609037328094302,0.08047690014903129,0.15561959654178675,0.5310319362542141,28.75,ok
Annthyroid,kmeans--,6942,21,0.05,0.03998324390345509,0.0037146750830495795,0.09221902017291066,0.09221902017291066,0.09221902017291066,0.522227781504196,1.18,ok
Annthyroid,hdbscan,6942,21,0.05,0.1246446905988928,0.03074577497617428,0.1746031746031746,0.19434628975265017,0.1585014409221902,0.5619648978682217,0.84,ok
Arrhythmia,deltric,256,259,0.0469,0.11316631971454842,0.053082563014120836,0.22535211267605634,0.13559322033898305,0.6666666666666666,0.7288251366120218,7.62,ok
Arrhythmia,kmeans--,256,259,0.0469,0.034269975370110436,-0.008067317334744466,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5191256830601092,0.54,ok
Arrhythmia,hdbscan,256,259,0.0469,0.0,0.0,0.08955223880597014,0.046875,1.0,nan,0.04,ok
Cardiotocography,deltric,1734,21,0.0496,0.25856691582699187,0.10006835606762915,0.3132530120481928,0.325,0.3023255813953488,0.6347792955520434,10.64,ok
Cardiotocography,kmeans--,1734,21,0.0496,0.21077702336791324,0.07103895467170392,0.26744186046511625,0.26744186046511625,0.26744186046511625,0.6146068525626552,0.86,ok
Cardiotocography,hdbscan,1734,21,0.0496,0.2165188572566855,0.07426200547934016,0.27979274611398963,0.2523364485981308,0.313953488372093,0.6327048995258524,0.1,ok
Glass,deltric,214,7,0.0421,0.2523365092424505,0.21558656478039617,0.36,0.21951219512195122,1.0,0.921951219512195,7.12,ok
Glass,kmeans--,214,7,0.0421,0.06584038398390286,-0.00241117346562747,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5360433604336043,0.52,ok
Glass,hdbscan,214,7,0.0421,0.1424547917788742,0.14556727959541044,0.26865671641791045,0.15517241379310345,1.0,0.8804878048780488,0.03,ok
HeartDisease,deltric,157,13,0.0446,0.019016822347485467,-0.004830438552756316,0.1111111111111111,0.06382978723404255,0.42857142857142855,0.5676190476190476,9.05,ok
HeartDisease,kmeans--,157,13,0.0446,0.09372224774154035,0.0033329997073805965,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5514285714285714,0.57,ok
